,name,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,date
40,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT,0.606,0.338,0,-10.555,1,0.048,0.315,0.0,0.106,0.238,119.88,audio_features,spotify:track:36t6frENUtCYKuZus6aYDO,https://api.spotify.com/v1/tracks/36t6frENUtCYKuZus6aYDO,https://api.spotify.com/v1/audio-analysis/36t6frENUtCYKuZus6aYDO,334085,4,2024-04-18
41,I Can Fix Him (No Really I Can),THE TORTURED POETS DEPARTMENT,0.661,0.257,6,-13.961,0,0.045,0.768,1.72e-06,0.176,0.318,106.896,audio_features,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,https://api.spotify.com/v1/tracks/2h3MDMf8sd9s4XIzpTBIjX,https://api.spotify.com/v1/audio-analysis/2h3MDMf8sd9s4XIzpTBIjX,156298,4,2024-04-18
42,loml,THE TORTURED POETS DEPARTMENT,0.423,0.272,0,-12.56,1,0.0489,0.858,0.0,0.108,0.195,78.539,audio_features,spotify:track:6RSG1dKPV5gEvILwJb4QtS,https://api.spotify.com/v1/tracks/6RSG1dKPV5gEvILwJb4QtS,https://api.spotify.com/v1/audio-analysis/6RSG1dKPV5gEvILwJb4QtS,277157,3,2024-04-18
43,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,audio_features,spotify:track:4q5YezDOIPcoLr8R81x9qy,https://api.spotify.com/v1/tracks/4q5YezDOIPcoLr8R81x9qy,https://api.spotify.com/v1/audio-analysis/4q5YezDOIPcoLr8R81x9qy,218005,4,2024-04-18
44,The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,0.426,0.41,10,-9.083,1,0.0581,0.52,0.0,0.338,0.263,142.377,audio_features,spotify:track:2v1ivOOsgn64g5OywuH55L,https://api.spotify.com/v1/tracks/2v1ivOOsgn64g5OywuH55L,https://api.spotify.com/v1/audio-analysis/2v1ivOOsgn64g5OywuH55L,245542,1,2024-04-18
45,The Alchemy,THE TORTURED POETS DEPARTMENT,0.64,0.421,0,-8.802,1,0.0273,0.422,0.0,0.103,0.353,100.056,audio_features,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,https://api.spotify.com/v1/tracks/1dhMTsEZz6ZEquGvmzVoHn,https://api.spotify.com/v1/audio-analysis/1dhMTsEZz6ZEquGvmzVoHn,196900,4,2024-04-18
46,Clara Bow,THE TORTURED POETS DEPARTMENT,0.686,0.318,7,-11.046,1,0.0263,0.636,0.00144,0.106,0.214,104.088,audio_features,spotify:track:1UlhrRvYzbHEyugEDspXUB,https://api.spotify.com/v1/tracks/1UlhrRvYzbHEyugEDspXUB,https://api.spotify.com/v1/audio-analysis/1UlhrRvYzbHEyugEDspXUB,216662,4,2024-04-18
47,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.76,0.602,7,-4.871,1,0.0316,0.00661,0.000133,0.325,0.685,116.989,audio_features,spotify:track:4WUepByoeqcedHoYhSNHRt,https://api.spotify.com/v1/tracks/4WUepByoeqcedHoYhSNHRt,https://api.spotify.com/v1/audio-analysis/4WUepByoeqcedHoYhSNHRt,212600,4,2023-10-27
48,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.732,0.719,0,-5.469,1,0.0645,0.0901,0.0,0.331,0.71,96.035,audio_features,spotify:track:0108kcWLnn2HlH2kedi1gn,https://api.spotify.com/v1/tracks/0108kcWLnn2HlH2kedi1gn,https://api.spotify.com/v1/audio-analysis/0108kcWLnn2HlH2kedi1gn,231833,4,2023-10-27
49,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.514,0.821,7,-4.803,1,0.0444,0.000456,0.0232,0.0946,0.298,94.884,audio_features,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd,https://api.spotify.com/v1/tracks/3Vpk1hfMAQme8VJ0SNRSkd,https://api.spotify.com/v1/audio-analysis/3Vpk1hfMAQme8VJ0SNRSkd,231000,4,2023-10-27
50,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.544,0.884,7,-5.973,1,0.0383,0.000466,0.000134,0.381,0.184,91.981,audio_features,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ,https://api.spotify.com/v1/tracks/1OcSfkeCg9hRC2sFKB4IMJ,https://api.spotify.com/v1/audio-analysis/1OcSfkeCg9hRC2sFKB4IMJ,235800,4,2023-10-27
51,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.589,0.713,0,-5.614,1,0.0308,0.000778,0.0,0.188,0.54,97.069,audio_features,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ,https://api.spotify.com/v1/tracks/2k0ZEeAqzvYMcx9Qt5aClQ,https://api.spotify.com/v1/audio-analysis/2k0ZEeAqzvYMcx9Qt5aClQ,193289,4,2023-10-27
52,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.632,0.805,7,-5.707,1,0.069,0.0112,2.51e-05,0.156,0.903,160.052,audio_features,spotify:track:50yNTF0Od55qnHLxYsA5Pw,https://api.spotify.com/v1/tracks/50yNTF0Od55qnHLxYsA5Pw,https://api.spotify.com/v1/audio-analysis/50yNTF0Od55qnHLxYsA5Pw,219209,4,2023-10-27
53,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.671,0.853,0,-6.568,1,0.0417,0.00388,9.48e-06,0.0812,0.523,118.032,audio_features,spotify:track:3FxJDucHWdw6caWTKO5b23,https://api.spotify.com/v1/tracks/3FxJDucHWdw6caWTKO5b23,https://api.spotify.com/v1/audio-analysis/3FxJDucHWdw6caWTKO5b23,207650,4,2023-10-27
54,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.624,0.711,7,-6.347,1,0.159,0.0369,3.13e-06,0.19,0.347,169.999,audio_features,spotify:track:7oZONwFiFIErZcXAtTu7FY,https://api.spotify.com/v1/tracks/7oZONwFiFIErZcXAtTu7FY,https://api.spotify.com/v1/audio-analysis/7oZONwFiFIErZcXAtTu7FY,211104,4,2023-10-27
55,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.587,0.663,8,-7.439,1,0.0598,0.0348,9.95e-05,0.0971,0.539,139.993,audio_features,spotify:track:27exgla7YBw9DUNNcTIpjy,https://api.spotify.com/v1/tracks/27exgla7YBw9DUNNcTIpjy,https://api.spotify.com/v1/audio-analysis/27exgla7YBw9DUNNcTIpjy,220433,4,2023-10-27
56,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.761,0.67,5,-5.956,1,0.0537,0.00198,1.08e-05,0.0873,0.519,120.014,audio_features,spotify:track:733OhaXQIHY7BKtY3vnSkn,https://api.spotify.com/v1/tracks/733OhaXQIHY7BKtY3vnSkn,https://api.spotify.com/v1/audio-analysis/733OhaXQIHY7BKtY3vnSkn,247533,4,2023-10-27
57,This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],0.47,0.494,4,-8.672,1,0.0349,0.302,0.0,0.0672,0.0524,144.039,audio_features,spotify:track:4WBEj8TeGtRPNJdOmT3WJW,https://api.spotify.com/v1/tracks/4WBEj8TeGtRPNJdOmT3WJW,https://api.spotify.com/v1/audio-analysis/4WBEj8TeGtRPNJdOmT3WJW,250100,4,2023-10-27
58,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.572,0.807,0,-5.348,1,0.0574,0.0846,0.0,0.071,0.626,160.015,audio_features,spotify:track:1ULabO0PEsdJekqVH6G10G,https://api.spotify.com/v1/tracks/1ULabO0PEsdJekqVH6G10G,https://api.spotify.com/v1/audio-analysis/1ULabO0PEsdJekqVH6G10G,195700,4,2023-10-27
59,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.782,0.379,4,-8.964,1,0.0303,0.297,2.98e-05,0.103,0.267,103.99,audio_features,spotify:track:0lKUBmEyQfzsQHozyeXzES,https://api.spotify.com/v1/tracks/0lKUBmEyQfzsQHozyeXzES,https://api.spotify.com/v1/audio-analysis/0lKUBmEyQfzsQHozyeXzES,271000,4,2023-10-27
60,Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],0.387,0.703,3,-5.956,1,0.0545,0.0105,1.1e-05,0.128,0.32,123.18,audio_features,spotify:track:6HRsJu8vcnzYDN4t0570FY,https://api.spotify.com/v1/tracks/6HRsJu8vcnzYDN4t0570FY,https://api.spotify.com/v1/audio-analysis/6HRsJu8vcnzYDN4t0570FY,245567,5,2023-10-27
