,Unnamed: 0,name,id_x,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id_y,uri,track_href,analysis_url,duration_ms,time_signature
41,41,I Can Fix Him (No Really I Can),2h3MDMf8sd9s4XIzpTBIjX,THE TORTURED POETS DEPARTMENT,0.661,0.257,6,-13.961,0,0.045,0.768,1.72e-06,0.176,0.318,106.896,audio_features,2h3MDMf8sd9s4XIzpTBIjX,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,https://api.spotify.com/v1/tracks/2h3MDMf8sd9s4XIzpTBIjX,https://api.spotify.com/v1/audio-analysis/2h3MDMf8sd9s4XIzpTBIjX,156298,4
42,42,loml,6RSG1dKPV5gEvILwJb4QtS,THE TORTURED POETS DEPARTMENT,0.423,0.272,0,-12.56,1,0.0489,0.858,0.0,0.108,0.195,78.539,audio_features,6RSG1dKPV5gEvILwJb4QtS,spotify:track:6RSG1dKPV5gEvILwJb4QtS,https://api.spotify.com/v1/tracks/6RSG1dKPV5gEvILwJb4QtS,https://api.spotify.com/v1/audio-analysis/6RSG1dKPV5gEvILwJb4QtS,277157,3
43,43,I Can Do It With a Broken Heart,4q5YezDOIPcoLr8R81x9qy,THE TORTURED POETS DEPARTMENT,0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,audio_features,4q5YezDOIPcoLr8R81x9qy,spotify:track:4q5YezDOIPcoLr8R81x9qy,https://api.spotify.com/v1/tracks/4q5YezDOIPcoLr8R81x9qy,https://api.spotify.com/v1/audio-analysis/4q5YezDOIPcoLr8R81x9qy,218005,4
44,44,The Smallest Man Who Ever Lived,2v1ivOOsgn64g5OywuH55L,THE TORTURED POETS DEPARTMENT,0.426,0.41,10,-9.083,1,0.0581,0.52,0.0,0.338,0.263,142.377,audio_features,2v1ivOOsgn64g5OywuH55L,spotify:track:2v1ivOOsgn64g5OywuH55L,https://api.spotify.com/v1/tracks/2v1ivOOsgn64g5OywuH55L,https://api.spotify.com/v1/audio-analysis/2v1ivOOsgn64g5OywuH55L,245542,1
45,45,The Alchemy,1dhMTsEZz6ZEquGvmzVoHn,THE TORTURED POETS DEPARTMENT,0.64,0.421,0,-8.802,1,0.0273,0.422,0.0,0.103,0.353,100.056,audio_features,1dhMTsEZz6ZEquGvmzVoHn,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,https://api.spotify.com/v1/tracks/1dhMTsEZz6ZEquGvmzVoHn,https://api.spotify.com/v1/audio-analysis/1dhMTsEZz6ZEquGvmzVoHn,196900,4
46,46,Clara Bow,1UlhrRvYzbHEyugEDspXUB,THE TORTURED POETS DEPARTMENT,0.686,0.318,7,-11.046,1,0.0263,0.636,0.00144,0.106,0.214,104.088,audio_features,1UlhrRvYzbHEyugEDspXUB,spotify:track:1UlhrRvYzbHEyugEDspXUB,https://api.spotify.com/v1/tracks/1UlhrRvYzbHEyugEDspXUB,https://api.spotify.com/v1/audio-analysis/1UlhrRvYzbHEyugEDspXUB,216662,4
47,47,Welcome To New York (Taylor's Version),4WUepByoeqcedHoYhSNHRt,1989 (Taylor's Version) [Deluxe],0.76,0.602,7,-4.871,1,0.0316,0.00661,0.000133,0.325,0.685,116.989,audio_features,4WUepByoeqcedHoYhSNHRt,spotify:track:4WUepByoeqcedHoYhSNHRt,https://api.spotify.com/v1/tracks/4WUepByoeqcedHoYhSNHRt,https://api.spotify.com/v1/audio-analysis/4WUepByoeqcedHoYhSNHRt,212600,4
48,48,Blank Space (Taylor's Version),0108kcWLnn2HlH2kedi1gn,1989 (Taylor's Version) [Deluxe],0.732,0.719,0,-5.469,1,0.0645,0.0901,0.0,0.331,0.71,96.035,audio_features,0108kcWLnn2HlH2kedi1gn,spotify:track:0108kcWLnn2HlH2kedi1gn,https://api.spotify.com/v1/tracks/0108kcWLnn2HlH2kedi1gn,https://api.spotify.com/v1/audio-analysis/0108kcWLnn2HlH2kedi1gn,231833,4
49,49,Style (Taylor's Version),3Vpk1hfMAQme8VJ0SNRSkd,1989 (Taylor's Version) [Deluxe],0.514,0.821,7,-4.803,1,0.0444,0.000456,0.0232,0.0946,0.298,94.884,audio_features,3Vpk1hfMAQme8VJ0SNRSkd,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd,https://api.spotify.com/v1/tracks/3Vpk1hfMAQme8VJ0SNRSkd,https://api.spotify.com/v1/audio-analysis/3Vpk1hfMAQme8VJ0SNRSkd,231000,4
50,50,Out Of The Woods (Taylor's Version),1OcSfkeCg9hRC2sFKB4IMJ,1989 (Taylor's Version) [Deluxe],0.544,0.884,7,-5.973,1,0.0383,0.000466,0.000134,0.381,0.184,91.981,audio_features,1OcSfkeCg9hRC2sFKB4IMJ,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ,https://api.spotify.com/v1/tracks/1OcSfkeCg9hRC2sFKB4IMJ,https://api.spotify.com/v1/audio-analysis/1OcSfkeCg9hRC2sFKB4IMJ,235800,4
