,name,id,album,date
66,Suburban Legends (Taylor's Version) (From The Vault),6M9ppdfFjR1AbpUl3Y8DcV,1989 (Taylor's Version) [Deluxe],2023-10-27
67,Is It Over Now? (Taylor's Version) (From The Vault),6IG3sQ8s9nfk6TUlVzRhbN,1989 (Taylor's Version) [Deluxe],2023-10-27
68,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),6qAcApH8obo8eqatCKUHd9,1989 (Taylor's Version) [Deluxe],2023-10-27
69,Welcome To New York (Taylor's Version),1hR8BSuEqPCCZfv93zzzz9,1989 (Taylor's Version),2023-10-26
70,Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,1989 (Taylor's Version),2023-10-26
71,Style (Taylor's Version),1hjRhYpWyqDpPahmSlUTlc,1989 (Taylor's Version),2023-10-26
72,Out Of The Woods (Taylor's Version),045ZeOHPIzhxxsm8bq5kyE,1989 (Taylor's Version),2023-10-26
73,All You Had To Do Was Stay (Taylor's Version),6GXgd1BPD9bUpqw5AntGV5,1989 (Taylor's Version),2023-10-26
74,Shake It Off (Taylor's Version),3pv7Q5v2dpdefwdWIvE7yH,1989 (Taylor's Version),2023-10-26
75,I Wish You Would (Taylor's Version),43y1WpBdnEy5TR9aZoSQL9,1989 (Taylor's Version),2023-10-26
76,Bad Blood (Taylor's Version),64FzgoLZ3oXu2SriZblHic,1989 (Taylor's Version),2023-10-26
77,Wildest Dreams (Taylor's Version),1K39ty6o1sHwwlZwO6a7wK,1989 (Taylor's Version),2023-10-26
78,How You Get The Girl (Taylor's Version),75W3SngKzTuoQ94uLf3y82,1989 (Taylor's Version),2023-10-26
79,This Love (Taylor’s Version),5QVVjX0ZItqlVpEuVCM9Yg,1989 (Taylor's Version),2023-10-26
80,I Know Places (Taylor's Version),2f0GI2ZLUtbGqFx8t2Gk6A,1989 (Taylor's Version),2023-10-26
81,Clean (Taylor's Version),2ByBBvpR9b7IynvRmnG7kG,1989 (Taylor's Version),2023-10-26
82,Wonderland (Taylor's Version),2ve0kuaWUCt4Zx8x4bf1MR,1989 (Taylor's Version),2023-10-26
83,You Are In Love (Taylor's Version),4UwqOWDpdeIDVQDuKT6iza,1989 (Taylor's Version),2023-10-26
84,New Romantics (Taylor's Version),2vPMoMDXxu9uX1igWZmXSG,1989 (Taylor's Version),2023-10-26
